종목코드,종목명,전일종가,전일거래량,시가총액,거래대금
223250,드림씨아이에스,3835,2993870,94342702740,11481491450
000810,삼성화재,650000,17657,29020857450000,11477050000
089970,브이엠,54400,210765,1432176016000,11465616000
083650,비에이치아이,62700,179389,1940212312500,11247690300
375500,DL이앤씨,86200,127140,3335390302600,10959468000
003230,삼양식품,1288000,8418,9702523320000,10842384000
016360,삼성증권,87400,123383,7804820000000,10783674200
084370,유진테크,139700,76713,3201371067400,10716806100
200470,에이팩트,7980,1324246,349711976880,10567483080
015760,한국전력,30800,340916,19772493571600,10500212800
347850,디앤디파마텍,44750,231948,2058329457750,10379673000
024060,흥구석유,12960,800337,194400000000,10372367520
092870,엑시콘,37450,276757,488752347650,10364549650
352820,하이브,164200,62766,7078142471200,10306177200
247540,에코프로비엠,103200,98418,10096100788800,10156737600
005387,현대차2우B,174400,58040,6097709392000,10122176000
012210,삼미금속,11290,895236,260252326910,10107214440
006800,미래에셋증권,31650,317949,17186616264150,10063085850
034220,LG디스플레이,8560,1164804,4280000000000,9970722240
032640,LG유플러스,14470,688491,6141469282040,9962464770
001520,동양,1219,8170114,130581757008,9959368966
192650,드림텍,7920,1252393,521823685680,9918952560
265740,엔에프씨,7750,1278546,138442900000,9908731500
119850,지엔씨에너지,51400,190865,845473922600,9810461000
252990,샘씨엔에스,18350,533583,1104998263150,9791248050
267270,HD건설기계,137800,70422,6545139790800,9704151600
158430,아톤,5700,1697582,139547924400,9676217400
321370,센서뷰,1753,5499596,123800806003,9640791788
388790,라이콤,5330,1792960,163173472800,9556476800
090460,비에이치,19570,477638,659734798660,9347375660
128940,한미약품,507000,18057,6495172437000,9154899000
950160,코오롱티슈진,15330,593203,1302592552800,9093801990
138080,오이솔루션,27900,323308,345339448200,9020293200
047810,한국항공우주,130700,68709,12739996484900,8980266300
002990,금호건설,13080,685348,487360459920,8964351840
229640,LS에코에너지,59500,150139,1822180300500,8933270500
080580,오킨스전자,22750,391951,479819226250,8916885250
086960,MDS테크,2260,3945145,96114794200,8916027700
082740,한화엔진,50300,174679,4197391242600,8786353700
067290,JW신약,3260,2615867,182680955780,8527726420
214450,파마리서치,327750,25907,3405207132000,8491019250
192820,코스맥스,277000,30499,3143813993000,8448223000
078930,GS,112800,74739,10478611836000,8430559200
440110,파두,63200,133155,3167016906400,8415396000
