종목코드,종목명,정규장종가,정규장거래량,시가총액,거래대금
039030,이오테크닉스,457000,23948,5630034350000,10944236000
347850,디앤디파마텍,45350,239744,2078735568150,10872390400
204270,제이앤티씨,22750,469193,1316052601500,10674140750
064400,LG씨엔에스,70100,150556,6791704954800,10553975600
247540,에코프로비엠,104500,100101,10223280353000,10460554500
078930,GS,114000,91273,10590086430000,10405122000
126340,비나텍,82700,124753,593820237800,10317073100
067290,JW신약,3445,2963015,193047819835,10207586675
089970,브이엠,53800,189035,1416379957000,10170083000
034220,LG디스플레이,8390,1208363,4195000000000,10138165570
058610,에스피지,98800,102439,2191123168000,10120973200
062970,한국첨단소재,3100,3244456,93379511300,10057813600
020150,롯데에너지머티리얼즈,42600,235902,2230768723800,10049425200
021240,코웨이,102700,96448,7267814650200,9905209600
089030,테크윙,45550,216897,1687793529750,9879658350
267270,HD건설기계,140300,68827,6663883255800,9656428100
356860,티엘비,37400,256254,886427124000,9583899600
077360,덕산하이메탈,11660,819707,529795443320,9557783620
112610,씨에스윈드,52400,182139,2209781517200,9544083600
192820,코스맥스,279500,33632,3172187765500,9400144000
413630,씨피시스템,4640,2013087,169065847200,9340723680
158430,아톤,5710,1624079,139792745320,9273491090
298380,에이비엘바이오,56400,163124,3157692913200,9200193600
051910,LG화학,267500,34301,18883451752500,9175517500
047050,포스코인터내셔널,56900,160830,10010006637200,9151227000
018260,삼성에스디에스,218000,41788,16868360400000,9109784000
006910,보성파워텍,7690,1183886,377808346560,9104083340
071050,한국금융지주,183100,49074,10203429135200,8985449400
088350,한화생명,5930,1508219,5150382900000,8943738670
452280,한선엔지니어링,13710,652137,263885555700,8940798270
064290,인텍플러스,46450,192156,601879498100,8925646200
226950,올릭스,111800,77775,2543510260200,8695245000
016360,삼성증권,85600,101439,7644080000000,8683178400
048430,유라테크,6930,1246170,79833600000,8635958100
001450,현대해상,48550,175973,4138802537500,8543489150
095610,테스,138800,61048,2687168000000,8473462400
006800,미래에셋증권,31850,262805,17295220474350,8370339250
047770,코데즈컴바인,3740,2235003,141531331480,8358911220
274090,켄코아에어로스페이스,11930,700615,164326289510,8358336950
145020,휴젤,220000,37909,2753338060000,8339980000
031980,피에스케이홀딩스,165100,50475,3559951414500,8333422500
310210,보로노이,131600,62250,2437698916800,8192100000
036570,NC,212000,38579,4567332664000,8178748000
090710,휴림로봇,6390,1276628,763982195310,8157652920
005385,현대차우,175300,46223,4091670288000,8102891900
200470,에이팩트,7290,1110531,319473723240,8095770990
328130,루닛,8960,900947,667145292800,8072485120
271560,오리온,111400,72380,4403506983200,8063132000
100590,머큐리,5000,1578436,85697725000,7892180000
352820,하이브,166500,47115,7177288194000,7844647500
348080,큐라티스,4795,1627267,61509075635,7802745265
440110,파두,63600,122077,3187061317200,7764097200
252990,샘씨엔에스,17160,448842,1033338975240,7702128720
004710,한솔테크닉스,9980,767758,530135773660,7662224840
079650,서산,6560,1159785,131200000000,7608189600
092870,엑시콘,35800,212217,467218532600,7597368600
399720,가온칩스,43150,175832,511709118600,7587150800
047810,한국항공우주,129900,58129,12662016399300,7550957100
377300,카카오페이,40050,186418,5418789911100,7466040900
033790,피노,7940,935825,661575782780,7430450500
032640,LG유플러스,14310,518731,6073560844920,7423040610
232140,와이씨,11910,622959,977160118500,7419441690
090430,아모레퍼시픽,143900,50724,8417108020100,7299183600
032500,케이엠더블유,19430,371475,819784750430,7217759250
028670,팬오션,5860,1195548,3132577340320,7005911280
277810,레인보우로보틱스,431000,15903,8361338798000,6854193000
086280,현대글로비스,203500,33137,15262500000000,6743379500
001520,동양,1353,4917986,144936109296,6654035058
014950,삼익제약,10090,655817,101581962920,6617193530
051900,LG생활건강,294000,22418,4402803762000,6590892000
228340,동양파일,3910,1662051,78200000000,6498619410
018880,한온시스템,3425,1867707,3514910846350,6396896475
319660,피에스케이,126900,49819,3675876006600,6322031100
161390,한국타이어앤테크놀로지,60000,105099,7432504140000,6305940000
0220W0,한화머시너리앤서비스홀딩스,6510,957785,550196132850,6235180350
241560,두산밥캣,59100,104675,5665093441500,6186292500
131290,티에스이,249000,24696,2754295821000,6149304000
091580,상신이디피,23700,258748,315878790300,6132327600
489790,한화비전,46850,130855,2365381071500,6130556750
084370,유진테크,136300,43669,3123456524600,5952084700
000100,유한양행,76300,77265,5616884090300,5895319500
138040,메리츠금융지주,125900,46306,21069021670700,5829925400
295310,에이치브이엠,59700,96385,740552112600,5754184500
0015N0,아로마티카,13820,411436,173813062040,5686045520
056080,유진로봇,12600,444386,481767123600,5599263600
454910,두산로보틱스,69900,78408,4530916602000,5480719200
192650,드림텍,7730,697868,509305188170,5394519640
417840,저스템,14660,367947,335265125460,5394103020
281820,케이씨텍,73200,73583,1449261985200,5386275600
289080,SV인베스트먼트,2740,1965438,164778758420,5385300120
448900,한국피아이엠,57200,93623,347458940400,5355235600
023530,롯데쇼핑,114400,46220,3236233572000,5287568000
011170,롯데케미칼,64000,81842,2737626816000,5237888000
054920,한컴위드,5060,1031563,142778429860,5219708780
009420,한올바이오파마,48650,107110,2541507038700,5210901500
463480,모티브링크,4500,1153709,55756611000,5191690500
089980,상아프론테크,16800,305071,268615821600,5125192800
326030,SK바이오팜,77800,65741,6092770850000,5114649800
077500,유니퀘스트,8290,616688,179064845580,5112343520
012210,삼미금속,11310,446407,260713358490,5048863170
041190,우리기술투자,5380,937487,429324000000,5043680060
234340,헥토파이낸셜,19600,257098,273824857600,5039120800
204320,HL만도,48400,104079,2272724608000,5037423600
020000,한섬,17630,281521,378639404220,4963215230
126640,화신정공,4140,1193616,145131467400,4941570240
014680,한솔케미칼,215500,22929,2326114758000,4941199500
477850,마키나락스,21050,234535,373737192800,4936961750
439960,코스모로보틱스,11550,424767,374804730300,4906058850
095340,ISC,186500,26002,3953251317000,4849373000
008930,한미사이언스,49150,98403,3361444682500,4836507450
017510,세명전기,8010,602450,122120460000,4825624500
087010,펩트론,150000,32002,3497602500000,4800300000
071970,HD현대마린엔진,51100,93756,1733388394500,4790931600
120110,코오롱인더,57900,82649,1733875252800,4785377100
030200,KT,53000,89423,13357149305000,4739419000
443060,HD현대마린솔루션,243000,19360,10894530780000,4704480000
232830,아이티센피엔에스,3425,1366162,56628011550,4679104850
187660,페니트리움바이오,6530,701007,417699632090,4577575710
073240,금호타이어,7130,638898,2048165846310,4555342740
005940,NH투자증권,25700,177086,9488596898500,4551110200
491000,리브스메드,29950,150574,756395366450,4509691300
195870,해성디에스,53900,83043,916300000000,4476017700
010130,고려아연,1134000,3936,23669946846000,4463424000
317400,자이에스앤디,10360,429794,401786907200,4452665840
003010,혜인,10640,417553,135263628080,4442763920
097950,CJ제일제당,177000,25077,2664590922000,4438629000
004370,농심,388500,11294,2363106417000,4387719000
141080,리가켐바이오,82500,52689,3054101985000,4346842500
033160,엠케이전자,14690,288598,360846012020,4239504620
024110,기업은행,20150,210146,16068131260350,4234441900
033100,제룡전기,48150,87379,773404993350,4207298850
394800,쓰리빌리언,4760,874803,151475352280,4164062280
003550,LG,112100,36753,16948623648400,4120011300
0126Z0,삼성에피스홀딩스,329000,12435,8186523121000,4091115000
323410,카카오뱅크,20600,197854,9828681002200,4075792400
080580,오킨스전자,22000,185186,464001010000,4074092000
025980,아난티,5150,786907,501100098500,4052571050
115500,케이씨에스,10490,386310,125880000000,4052391900
001040,CJ,129500,31122,3778421241000,4030299000
490470,세미파이브,15500,258768,527394320000,4010904000
005160,동국산업,3560,1126360,193110355920,4009841600
